system:index,Aerosol Index,date,.geo
20220425T075256_20220425T083023,-0.6340754248361609,2022-04-25T07:52:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220426T073256_20220426T080928,-0.3536170541573546,2022-04-26T07:32:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220426T073756_20220426T081006,,2022-04-26T07:37:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220427T071256_20220427T075016,,2022-04-27T07:12:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220427T071756_20220427T075107,0.5422294956525038,2022-04-27T07:17:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220427T085756_20220427T093239,,2022-04-27T08:57:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220428T065756_20220428T073215,,2022-04-28T06:57:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220428T083756_20220428T091514,0.7627986857415062,2022-04-28T08:37:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220429T081756_20220429T085717,0.795061582990664,2022-04-29T08:17:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220430T075756_20220430T083412,-0.5867734941184787,2022-04-30T07:57:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220430T080256_20220430T083500,,2022-04-30T08:02:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220501T073756_20220501T081506,,2022-05-01T07:37:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220501T074256_20220501T081548,0.014988664914028898,2022-05-01T07:42:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220502T072256_20220502T075815,0.40023814693173554,2022-05-02T07:22:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220503T070256_20220503T074015,,2022-05-03T07:02:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220503T084256_20220503T092017,1.057747194722672,2022-05-03T08:42:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220503T084756_20220503T091637,,2022-05-03T08:47:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220504T064729_20220504T114803,,2022-05-04T06:47:23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220505T080450_20220505T084221,0.1139364435826361,2022-05-05T08:04:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220505T080950_20220505T084258,,2022-05-05T08:09:45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220506T074450_20220506T082310,-0.20145547407620779,2022-05-06T07:44:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220506T074950_20220506T082402,-0.04417420769915408,2022-05-06T07:49:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220507T072950_20220507T080454,0.7348658349967921,2022-05-07T07:29:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220508T071232_20220508T074604,0.3870662792015295,2022-05-08T07:12:26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220508T085232_20220508T092646,0.6125962372586824,2022-05-08T08:52:26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220509T065232_20220509T072732,,2022-05-09T06:52:26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220509T083232_20220509T090903,1.2018967288185671,2022-05-09T08:32:27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220510T081232_20220510T084951,-0.6108543800349754,2022-05-10T08:12:27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220511T075126_20220511T082948,-1.1654125381611722,2022-05-11T07:51:20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220511T075626_20220511T083102,,2022-05-11T07:56:20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220512T073140_20220512T080931,,2022-05-12T07:31:34,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220512T073640_20220512T081039,-1.666942056696018,2022-05-12T07:36:34,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220513T071428_20220513T075055,0.22597923757406277,2022-05-13T07:14:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220513T085428_20220513T093846,,2022-05-13T08:54:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220514T083628_20220514T091626,1.3779895085196137,2022-05-14T08:36:23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220514T084128_20220514T091702,,2022-05-14T08:41:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220515T081628_20220515T085413,0.6404487577394987,2022-05-15T08:16:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220515T082128_20220515T085517,,2022-05-15T08:21:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220516T080128_20220516T083739,-0.1947996729340966,2022-05-16T08:01:23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220517T074128_20220517T081905,-0.5879518801178781,2022-05-17T07:41:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220518T072128_20220518T080050,-0.7991890709442963,2022-05-18T07:21:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220518T090128_20220518T094051,,2022-05-18T09:01:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220519T070628_20220519T073956,,2022-05-19T07:06:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220520T082401_20220520T090057,-0.3514372794374946,2022-05-20T08:23:56,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220521T080401_20220521T084049,-0.8907853053166378,2022-05-21T08:03:55,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220521T080901_20220521T084236,,2022-05-21T08:08:55,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220522T074401_20220522T082506,,2022-05-22T07:43:56,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220522T074901_20220522T082554,0.6134157302475849,2022-05-22T07:48:56,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220524T070815_20220524T074624,1.0709168119085066,2022-05-24T07:08:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220524T084815_20220524T092545,1.6244198735427944,2022-05-24T08:48:10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220524T085315_20220524T092704,,2022-05-24T08:53:10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220525T065315_20220525T072808,,2022-05-25T06:53:10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220525T083315_20220525T091035,0.978761308222662,2022-05-25T08:33:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220526T081118_20220526T085034,0.3712195066424592,2022-05-26T08:11:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220527T075223_20220527T083644,-0.008999459473095519,2022-05-27T07:52:17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220528T073329_20220528T081736,0.40470472700109394,2022-05-28T07:33:23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220529T071437_20220529T075457,1.2466948843486658,2022-05-29T07:14:32,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220529T085437_20220529T093836,,2022-05-29T08:54:31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220530T083629_20220530T091722,1.442370635308056,2022-05-30T08:36:23,"{""type"":""MultiPoint"",""coordinates"":[]}"
